true_bounds,sia_bounds,crown_bounds,bern_ibf_bounds,sia_time,crown_time,bern_ibf_time
"[[-0.026216306, 0.46347183], [-0.03214103, 0.47284985], [0.01591444, 0.44625643], [-0.018408451, 0.4888315], [0.017730543, 0.34915304]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-5062.47900390625, 12312.294921875], [-3514.3173828125, 8226.9091796875], [-3998.89013671875, 7509.2607421875], [-3221.52734375, 10119.4970703125], [-6308.31982421875, 8076.93896484375]]",0.0325186252593994,6.706464767456055,1.9311027526855469
"[[-0.024075842, 0.4358289], [-0.033293646, 0.38252613], [0.016597005, 0.46161753], [-0.01823598, 0.37990436], [0.008556051, 0.46079165]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-1843.84033203125, 4391.69775390625], [-1274.08056640625, 2940.752685546875], [-1446.2923583984375, 2687.394775390625], [-1165.2423095703125, 3613.680419921875], [-2281.45751953125, 2889.69384765625]]",0.0335590839385986,7.057738542556763,1.9035100936889648
"[[-0.02183454, 0.44723812], [-0.03295062, 0.43454888], [0.01621341, 0.48906216], [-0.018353434, 0.3583183], [0.012116513, 0.43754986]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-1427.0640869140625, 3726.355712890625], [-984.0961303710938, 2484.374755859375], [-1111.6944580078125, 2257.35595703125], [-899.6708374023438, 3041.186279296875], [-1756.448486328125, 2419.64453125]]",0.0342733860015869,6.934467554092407,1.8841099739074707
"[[-0.024327716, 0.46198943], [-0.028805893, 0.45699063], [0.015129995, 0.4605236], [-0.018643467, 0.46669385], [0.016681401, 0.4137985]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-1048.5106201171875, 2536.937744140625], [-724.7098999023438, 1713.2552490234375], [-820.6053466796875, 1561.3958740234375], [-661.9686279296875, 2100.333251953125], [-1295.624267578125, 1673.478759765625]]",0.0424542427062988,6.821166038513184,1.821392297744751
"[[-0.021824338, 0.3651629], [-0.033538353, 0.36393845], [0.016795963, 0.41088384], [-0.018497555, 0.3768909], [0.014517355, 0.4135075]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-999.8309936523438, 2393.235107421875], [-690.3717651367188, 1607.7396240234375], [-780.7318115234375, 1467.3912353515625], [-631.3281860351562, 1974.08154296875], [-1232.907958984375, 1575.5584716796875]]",0.0346839427947998,6.776876449584961,1.8122673034667969
"[[-0.02322448, 0.659126], [-0.030009044, 0.6570429], [0.01783841, 0.6590881], [-0.01957804, 0.66349256], [0.014536649, 0.57564116]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-1471.4644775390625, 4007.485107421875], [-1022.9456176757812, 2664.816650390625], [-1165.8243408203125, 2413.740234375], [-945.3536987304688, 3277.873046875], [-1841.3028564453125, 2590.1640625]]",0.0325894355773925,7.0482177734375,1.798335075378418
"[[-0.022078644, 0.60741884], [-0.031304963, 0.551779], [0.017542275, 0.6447646], [-0.0183001, 0.49927786], [0.013049744, 0.6337969]]","[[-4656.729, 15063.859], [-3240.3628, 9893.605], [-3689.6406, 8890.193], [-2972.679, 12106.611], [-5817.6733, 9496.639]]","[[-399.58157, 1503.4976], [-326.66702, 988.66766], [-374.4749, 905.91846], [-327.4873, 1223.482], [-567.3029, 976.58527]]","[[-999.8309936523438, 2393.235107421875], [-690.3717651367188, 1607.7396240234375], [-780.7318115234375, 1467.3912353515625], [-631.3281860351562, 1974.08154296875], [-1232.907958984375, 1575.5584716796875]]",0.0331809520721435,6.797224283218384,1.7946991920471191
"[[-0.04181346, 0.48545197], [0.01770494, 0.51253587], [-0.021576658, 0.502456], [0.017786851, 0.51884663], [-0.023910943, 0.49219897]]","[[-8064.127, 16128.656], [-3939.4858, 7983.9834], [-3257.77, 8752.032], [-6053.8945, 8552.137], [-4628.371, 9092.168]]","[[-928.3824, 1687.9875], [-409.81985, 857.6951], [-340.81274, 906.6439], [-630.435, 886.78973], [-499.3433, 952.4789]]","[[-5311.1650390625, 8462.1298828125], [-2585.61669921875, 4330.69775390625], [-2132.16015625, 4671.6298828125], [-3978.27490234375, 4514.98681640625], [-3041.128662109375, 4739.5166015625]]",0.0345010757446289,6.691992521286011,1.889132261276245
"[[-0.024751402, 0.3688839], [-0.02245202, 0.35886174], [-0.019827168, 0.4314608], [-0.020224279, 0.29541814], [-0.019784857, 0.43237394]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.24913357198238373, 0.39598992466926575], [0.22527283430099487, 0.7642854452133179], [-2.2343924045562744, 0.0810966044664383], [-0.6517756581306458, 0.7339502573013306], [-4.916502475738525, 0.12614211440086365]]",0.0328078269958496,6.709789752960205,1.6876235008239746
"[[0.007930263, 0.6347305], [0.0061271656, 0.6762278], [0.0062202513, 0.6399637], [-0.003233919, 0.66644603], [-0.003653421, 0.5794254]]","[[-2198.0518, 738.09607], [-1790.6921, 729.632], [-2496.079, 626.7468], [-442.4618, 2448.437], [-2813.4229, 805.78644]]","[[-103.16062, 29.465326], [-80.92664, 30.572792], [-114.85793, 28.359928], [-15.50847, 97.371735], [-128.80222, 33.20997]]","[[-56.51420593261719, 66.11813354492188], [-39.3581657409668, 61.15523910522461], [-55.346351623535156, 39.95920181274414], [30.478458404541016, 62.0217170715332], [-67.21739959716797, 41.64986038208008]]",0.0344665050506591,6.868470907211304,1.411125659942627
"[[0.008202008, 0.63935953], [0.006399967, 0.68179566], [0.00649002, 0.6415006], [-0.00304004, 0.6724685], [-0.0033980897, 0.5835554]]","[[-2198.0518, 738.09607], [-1790.6921, 729.632], [-2496.079, 626.7468], [-442.4618, 2448.437], [-2813.4229, 805.78644]]","[[-103.16062, 29.465326], [-80.92664, 30.572792], [-114.85793, 28.359928], [-15.50847, 97.371735], [-128.80222, 33.20997]]","[[-0.19121885299682617, 18.56973648071289], [-0.2411123514175415, 13.864099502563477], [-0.17529886960983276, 23.342212677001953], [-0.09439849853515625, 3.0613412857055664], [-0.41828683018684387, 28.487998962402344]]",0.0350282192230224,7.072932243347168,1.341196060180664
"[[0.008044868, 0.63944924], [0.0063107423, 0.6820571], [0.0063082967, 0.6437162], [-0.0030151363, 0.67190665], [-0.0036020689, 0.5830055]]","[[-2198.0518, 738.09607], [-1790.6921, 729.632], [-2496.079, 626.7468], [-442.4618, 2448.437], [-2813.4229, 805.78644]]","[[-103.16062, 29.465326], [-80.92664, 30.572792], [-114.85793, 28.359928], [-15.50847, 97.371735], [-128.80222, 33.20997]]","[[-0.19121885299682617, 18.56973648071289], [-0.2411123514175415, 13.864099502563477], [-0.17529886960983276, 23.342212677001953], [-0.09439849853515625, 3.0613412857055664], [-0.41828683018684387, 28.487998962402344]]",0.0341036319732666,7.024742841720581,1.3158435821533203
"[[-0.023451967, 0.24848905], [-0.022127064, 0.28204414], [-0.019822022, 0.29540038], [-0.020649906, 0.28534073], [-0.021231348, 0.26687795]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.24913357198238373, 0.39598992466926575], [0.22527283430099487, 0.7642854452133179], [-2.2343924045562744, 0.0810966044664383], [-0.6517756581306458, 0.7339502573013306], [-4.916502475738525, 0.12614211440086365]]",0.0336036682128906,6.721114158630371,1.6862444877624512
"[[-0.02520432, 0.45270243], [-0.02180669, 0.4425462], [-0.019820828, 0.49367934], [-0.020653294, 0.379723], [-0.019843826, 0.49890867]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.24913357198238373, 0.39598992466926575], [0.22527283430099487, 0.7642854452133179], [-2.2343924045562744, 0.0810966044664383], [-0.6517756581306458, 0.7339502573013306], [-4.916502475738525, 0.12614211440086365]]",0.0320703983306884,6.668069839477539,1.6473205089569092
"[[-0.023316791, 0.56069994], [-0.022091022, 0.55236536], [-0.01982895, 0.6226012], [-0.025832295, 0.4272955], [-0.019308772, 0.6238848]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[-61.791259765625, 1.6208057403564453], [-52.006343841552734, 1.2074122428894043], [-77.16986083984375, 1.619367003440857], [-28.041122436523438, 1.3184151649475098], [-85.07293701171875, 1.7583085298538208]]",0.0349733829498291,6.773393392562866,1.540510177612305
"[[-0.023292424, 0.46848205], [-0.021438004, 0.45243824], [-0.01982027, 0.5232927], [-0.019631308, 0.37976927], [-0.019137064, 0.5393533]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.12944599986076355, 3.6350297927856445], [0.20594918727874756, 4.258657455444336], [0.15310296416282654, 3.779245615005493], [-0.350533127784729, 3.664407253265381], [-0.36610162258148193, 3.3293848037719727]]",0.033466100692749,6.695453643798828,1.951941728591919
"[[-0.022309287, 0.5807139], [-0.021619083, 0.6367315], [-0.019830994, 0.56000125], [-0.023854367, 0.66014934], [-0.019329712, 0.4686748]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.2605039179325104, 3.1415722370147705], [0.4704855978488922, 3.384784698486328], [0.314444899559021, 3.3244645595550537], [0.08932903409004211, 3.166259527206421], [-0.11090895533561707, 3.128828525543213]]",0.0330867767333984,6.739685535430908,1.842160701751709
"[[-0.022790883, 0.48712575], [-0.02132669, 0.4738347], [-0.019826766, 0.54352266], [-0.01980787, 0.41677845], [-0.019664472, 0.54652834]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[-6.1315717697143555, 4.580963611602783], [-6.042289733886719, 4.558469295501709], [-13.163093566894531, 7.075415134429932], [-7.50443696975708, 2.205151081085205], [-18.235675811767578, 7.065070152282715]]",0.0336494445800781,6.762179374694824,1.6788475513458252
"[[-0.022695154, 0.49099255], [-0.020922553, 0.4835872], [-0.019819409, 0.55180466], [-0.025463076, 0.40909946], [-0.020248251, 0.561999]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[-1.0965803861618042, 1.5995508432388306], [-1.6119647026062012, 0.8114410042762756], [-2.5965681076049805, 0.9384369254112244], [-0.4995279312133789, 0.3464396595954895], [-4.052242755889893, -0.4689192771911621]]",0.0322620868682861,7.517612934112549,1.7447397708892822
"[[-0.025128067, 0.45460585], [-0.021655727, 0.488885], [-0.019820437, 0.45611078], [-0.024974382, 0.47433513], [-0.019500997, 0.4046845]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[0.2783542275428772, 0.4542146623134613], [0.26676425337791443, 0.7135282158851624], [-0.47197818756103516, 0.5301427841186523], [-0.44789037108421326, 1.1925519704818726], [-2.3200180530548096, -0.8081814050674438]]",0.0337803363800048,6.770059585571289,1.774566650390625
"[[-0.023653897, 0.26307964], [-0.020990867, 0.25184807], [-0.019826315, 0.3078302], [-0.023381883, 0.22534485], [-0.019562775, 0.31190482]]","[[-56233.875, 18888.93], [-45886.46, 18680.082], [-63908.17, 16060.593], [-11336.309, 62694.484], [-71921.734, 20637.207]]","[[-7461.038, 1946.1761], [-5966.121, 2025.5908], [-8432.486, 1895.1216], [-973.31323, 6983.826], [-9319.569, 2230.6697]]","[[-1.0965803861618042, 1.5995508432388306], [-1.6119647026062012, 0.8114410042762756], [-2.5965681076049805, 0.9384369254112244], [-0.4995279312133789, 0.3464396595954895], [-4.052242755889893, -0.4689192771911621]]",0.0334060192108154,6.814055681228638,1.678269863128662
"[[-0.021204727, 0.38602576], [-0.021502513, 0.43818653], [-0.021805992, 0.36610413], [-0.029604532, 0.4460453], [-0.029641315, 0.3506619]]","[[-2426.3274, 7275.4985], [-3273.8984, 8431.173], [-2994.669, 8692.998], [-4843.5034, 9133.6455], [-4221.248, 8926.27]]","[[-296.0705, 867.0002], [-374.40796, 983.7736], [-359.6941, 1042.7731], [-544.66284, 1068.4113], [-521.702, 1075.7295]]","[[-5.483905792236328, 1.9746520519256592], [-6.115156173706055, 2.5425944328308105], [-6.591615200042725, 1.737419843673706], [-7.022454738616943, 2.469601631164551], [-7.182887554168701, 3.076260566711426]]",0.034775972366333,6.7847208976745605,1.7500808238983154
"[[-0.041214712, 0.15247576], [0.015781574, 0.042825907], [-0.036488876, -0.016287375], [0.017908586, 0.04333388], [-0.01867473, 0.0031671869]]","[[-30763.312, 70894.3], [-3453.0767, 10959.842], [-8605.341, 9551.388], [-4112.8164, 7900.1504], [-1081.9498, 9373.877]]","[[-3224.2312, 6974.2017], [-370.0427, 1119.2614], [-894.3444, 994.7309], [-421.53943, 802.1465], [-103.01821, 927.66797]]","[[-77.071533203125, 2.0235438346862793], [-10.833587646484375, 0.3842240869998932], [-1.2879421710968018, 2.871459484100342], [-9.447285652160645, 0.14328265190124512], [-2.2869954109191895, 0.0882447361946106]]",0.035454750061035156,6.8315229415893555,1.518937349319458
